Group,Attack Method,K,PSNR (dB),SSIM,LPIPS,Avg L0,Avg L2,Avg L_inf,Avg Iterations
Group B,GSE,2.0,,,,395.1,0.6952,0.0427,3.01
Group B,GSE,4.0,,,,395.1,0.6952,0.0427,3.01
Group B,GSE,8.0,,,,395.1,0.6952,0.0427,3.01
Group B,GSE,16.0,,,,395.1,0.6952,0.0427,3.01
Group B,GSE,32.0,,,,395.1,0.6952,0.0427,3.01
Group B,GSE,64.0,,,,395.1,0.6952,0.0427,3.01
Group B,GSE,128.0,,,,395.1,0.6952,0.0427,3.01
Group B,Pixle,1.0,,,,76.99,5.2129,0.7798,10.93
Group B,Pixle,2.0,,,,76.99,5.2129,0.7798,10.93
Group B,Pixle,4.0,,,,76.99,5.2129,0.7798,10.93
Group B,Pixle,8.0,,,,76.99,5.2129,0.7798,10.93
Group B,Pixle,16.0,,,,76.99,5.2129,0.7798,10.93
Group B,Pixle,32.0,,,,76.99,5.2129,0.7798,10.93
Group B,Pixle,64.0,,,,76.99,5.2129,0.7798,10.93
Group B,Pixle,128.0,,,,76.99,5.2129,0.7798,10.93
Group B,FMSA-minimal-support,1.0,,,,544.59,1.1338,0.0886,7.41
Group B,FMSA-minimal-support,2.0,,,,544.59,1.1338,0.0886,7.41
Group B,FMSA-minimal-support,4.0,,,,544.59,1.1338,0.0886,7.41
Group B,FMSA-minimal-support,8.0,,,,544.59,1.1338,0.0886,7.41
Group B,FMSA-minimal-support,16.0,,,,544.59,1.1338,0.0886,7.41
Group B,FMSA-minimal-support,32.0,,,,544.59,1.1338,0.0886,7.41
Group B,FMSA-minimal-support,64.0,,,,544.59,1.1338,0.0886,7.41
Group B,FMSA-minimal-support,128.0,,,,544.59,1.1338,0.0886,7.41
