Group,Attack Method,K,Clean Acc (%),Robust Acc (%),ASR (%),Accuracy Drop (%),Avg L0,Avg L0 Ratio,Avg L2,Avg L_inf,PSNR (dB),SSIM,LPIPS,Avg Iterations,Time/Img (s)
Group A,FMSA-budgeted,64,92.2,43.8,53.69,48.4,366.31,0.3577,0.9275,0.101,40.26,0.9365,,17.63,0.0024
Group A,FMSA-budgeted,128,92.2,18.1,81.56,74.1,449.08,0.4386,1.0188,0.0944,39.7,0.926,,11.17,0.0024
Group A,HSA-budgeted,1,92.2,79.2,14.43,13.0,13.23,0.0129,0.1487,0.047,55.12,0.9977,,20.67,0.0024
Group A,HSA-budgeted,2,92.2,74.7,19.74,17.5,23.88,0.0233,0.1956,0.0526,53.0,0.996,,19.51,0.0024
Group A,HSA-budgeted,4,92.2,61.4,34.27,30.8,41.29,0.0403,0.2483,0.0556,51.21,0.9936,,17.84,0.0024
Group A,HSA-budgeted,8,92.2,45.5,51.41,46.7,66.28,0.0647,0.3039,0.0572,49.73,0.9901,,15.13,0.0024
Group A,HSA-budgeted,16,92.2,24.7,73.97,67.5,95.86,0.0936,0.3598,0.0587,48.46,0.986,,11.66,0.0024
Group A,HSA-budgeted,32,92.2,11.6,88.18,80.6,129.76,0.1267,0.4111,0.057,47.36,0.9821,,7.87,0.0024
Group A,HSA-budgeted,64,92.2,5.6,94.58,86.6,177.83,0.1737,0.4706,0.0527,46.14,0.9774,,5.34,0.0024
Group A,HSA-budgeted,128,92.2,3.6,96.85,88.6,254.42,0.2485,0.554,0.047,44.68,0.9711,,3.71,0.0024
Group B,SparseFool,1,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SparseFool,2,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SparseFool,4,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SparseFool,8,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SparseFool,16,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SparseFool,32,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SparseFool,64,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SparseFool,128,92.2,92.2,0.0,0.0,297.9,0.2909,0.4065,0.0196,,,,1.68,0.0011
Group B,SigmaZero,1,92.2,92.2,0.0,0.0,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,SigmaZero,2,92.2,92.2,0.0,0.0,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,SigmaZero,4,92.2,92.2,0.0,0.0,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,SigmaZero,8,92.2,92.2,0.0,0.0,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,SigmaZero,16,92.2,84.93,7.27,7.27,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,SigmaZero,32,92.2,77.56,14.64,14.64,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,SigmaZero,64,92.2,57.06,35.14,35.14,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,SigmaZero,128,92.2,18.23,73.97,73.97,82.38,0.0805,0.4939,0.0907,,,,11.59,0.0046
Group B,Homotopy,1,92.2,92.2,0.0,0.0,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,Homotopy,2,92.2,92.2,0.0,0.0,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,Homotopy,4,92.2,92.2,0.0,0.0,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,Homotopy,8,92.2,92.2,0.0,0.0,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,Homotopy,16,92.2,92.2,0.0,0.0,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,Homotopy,32,92.2,92.2,0.0,0.0,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,Homotopy,64,92.2,92.2,0.0,0.0,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,Homotopy,128,92.2,91.77,0.43,0.43,93.46,0.0913,0.1688,0.0098,,,,28.96,0.0047
Group B,GSE,1,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,GSE,2,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,GSE,4,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,GSE,8,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,GSE,16,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,GSE,32,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,GSE,64,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,GSE,128,92.2,92.2,0.0,0.0,395.1,0.3858,0.6952,0.0427,,,,3.01,0.0046
Group B,Pixle,1,92.2,91.66,0.54,0.54,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,Pixle,2,92.2,91.66,0.54,0.54,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,Pixle,4,92.2,91.66,0.54,0.54,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,Pixle,8,92.2,91.66,0.54,0.54,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,Pixle,16,92.2,91.66,0.54,0.54,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,Pixle,32,92.2,82.87,9.33,9.33,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,Pixle,64,92.2,63.78,28.42,28.42,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,Pixle,128,92.2,35.91,56.29,56.29,76.99,0.0752,5.2129,0.7798,,,,10.93,0.0024
Group B,FMSA-minimal-support,1,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
Group B,FMSA-minimal-support,2,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
Group B,FMSA-minimal-support,4,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
Group B,FMSA-minimal-support,8,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
Group B,FMSA-minimal-support,16,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
Group B,FMSA-minimal-support,32,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
Group B,FMSA-minimal-support,64,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
Group B,FMSA-minimal-support,128,92.2,92.2,0.0,0.0,544.59,0.5318,1.1338,0.0886,,,,7.41,0.0024
